timestamp,液体流量计1,气体流量计2
" 2022-08-15 09:15:30",26.0,0.0
" 2022-08-15 09:16:00",21.0,0.0
" 2022-08-15 09:16:30",23.0,1.0
" 2022-08-15 09:17:00",1.0,1.0
" 2022-08-15 09:17:30",26.0,0.0
" 2022-08-15 09:18:00",15.0,1.0
" 2022-08-15 09:18:30",1.0,0.0
" 2022-08-15 09:19:00",5.0,0.0
" 2022-08-15 09:19:30",4.0,1.0
" 2022-08-15 09:20:00",23.0,0.0
" 2022-08-15 09:20:30",19.0,0.0
" 2022-08-15 09:21:00",22.0,0.0
" 2022-08-15 09:21:30",9.0,1.0
" 2022-08-15 09:22:00",20.0,0.0
" 2022-08-15 09:22:30",6.0,0.0
" 2022-08-15 09:23:00",19.0,1.0
" 2022-08-15 09:23:30",2.0,1.0
" 2022-08-15 09:24:00",5.0,1.0
" 2022-08-15 09:24:30",25.0,1.0
" 2022-08-15 09:25:00",11.0,0.0
" 2022-08-15 09:25:30",19.0,1.0
" 2022-08-15 09:26:00",14.0,0.0
" 2022-08-15 09:26:30",9.0,1.0
" 2022-08-15 09:27:00",19.0,0.0
" 2022-08-15 09:27:30",26.0,0.0
" 2022-08-15 09:28:00",20.0,0.0
" 2022-08-15 09:28:30",1.0,0.0
" 2022-08-15 09:29:00",29.0,0.0
" 2022-08-15 09:29:30",5.0,1.0
" 2022-08-15 09:30:00",7.0,0.0
" 2022-08-15 09:30:30",24.0,0.0
" 2022-08-15 09:31:00",22.0,0.0
" 2022-08-15 09:31:30",15.0,0.0
" 2022-08-15 09:32:00",28.0,1.0
" 2022-08-15 09:32:30",20.0,1.0
" 2022-08-15 09:33:00",11.0,0.0
" 2022-08-15 09:33:30",10.0,1.0
" 2022-08-15 09:34:00",9.0,0.0
" 2022-08-15 09:34:30",27.0,0.0
" 2022-08-15 09:35:00",6.0,0.0
" 2022-08-15 09:35:30",7.0,0.0
" 2022-08-15 09:36:00",28.0,0.0
" 2022-08-15 09:36:30",25.0,0.0
" 2022-08-15 09:37:00",12.0,0.0
" 2022-08-15 09:37:30",19.0,1.0
" 2022-08-15 09:38:00",29.0,0.0
" 2022-08-15 09:38:30",4.0,1.0
" 2022-08-15 09:39:00",22.0,0.0
" 2022-08-15 09:39:30",16.0,1.0
" 2022-08-15 09:40:00",5.0,0.0
" 2022-08-15 09:40:30",5.0,0.0
" 2022-08-15 09:41:00",13.0,0.0
" 2022-08-15 09:41:30",5.0,0.0
" 2022-08-15 09:42:00",13.0,1.0
" 2022-08-15 09:42:30",3.0,1.0
" 2022-08-15 09:43:00",0.0,1.0
" 2022-08-15 09:43:30",15.0,0.0
" 2022-08-15 09:44:00",23.0,1.0
" 2022-08-15 09:44:30",17.0,1.0
" 2022-08-15 09:45:00",22.0,1.0
" 2022-08-15 09:45:30",4.0,1.0
" 2022-08-15 09:46:00",10.0,1.0
" 2022-08-15 09:46:30",12.0,1.0
" 2022-08-15 09:47:00",6.0,1.0
" 2022-08-15 09:47:30",12.0,0.0
" 2022-08-15 09:48:00",13.0,1.0
" 2022-08-15 09:48:30",9.0,1.0
" 2022-08-15 09:49:00",4.0,0.0
" 2022-08-15 09:49:30",8.0,0.0
" 2022-08-15 09:50:00",8.0,1.0
" 2022-08-15 09:50:30",27.0,1.0
" 2022-08-15 09:51:01",26.0,1.0
" 2022-08-15 09:51:30",14.0,1.0
" 2022-08-15 09:52:00",11.0,0.0
" 2022-08-15 09:52:30",19.0,1.0
" 2022-08-15 09:53:00",7.0,0.0
" 2022-08-15 09:53:30",1.0,0.0
" 2022-08-15 09:54:00",15.0,0.0
" 2022-08-15 09:54:30",9.0,0.0
" 2022-08-15 09:55:00",26.0,0.0
" 2022-08-15 09:55:30",9.0,0.0
" 2022-08-15 09:56:00",6.0,1.0
" 2022-08-15 09:56:30",9.0,0.0
" 2022-08-15 09:57:00",2.0,0.0
" 2022-08-15 09:57:30",17.0,1.0
" 2022-08-15 09:58:00",5.0,1.0
" 2022-08-15 09:58:30",29.0,1.0
" 2022-08-15 09:59:00",7.0,0.0
" 2022-08-15 09:59:30",21.0,0.0
" 2022-08-15 10:00:00",16.0,0.0
" 2022-08-15 10:00:30",10.0,0.0
" 2022-08-15 10:01:00",18.0,1.0
" 2022-08-15 10:01:30",15.0,1.0
" 2022-08-15 10:02:00",5.0,0.0
" 2022-08-15 10:02:30",17.0,0.0
" 2022-08-15 10:03:00",25.0,1.0
" 2022-08-15 10:03:30",6.0,1.0
" 2022-08-15 10:04:00",22.0,0.0
" 2022-08-15 10:04:30",29.0,0.0
" 2022-08-15 10:05:00",19.0,1.0
" 2022-08-15 10:05:30",25.0,0.0
" 2022-08-15 10:06:00",17.0,0.0
" 2022-08-15 10:06:30",21.0,0.0
" 2022-08-15 10:07:00",28.0,0.0
" 2022-08-15 10:07:30",28.0,1.0
" 2022-08-15 10:08:00",13.0,0.0
" 2022-08-15 10:08:30",14.0,1.0
" 2022-08-15 10:09:00",0.0,1.0
" 2022-08-15 10:09:30",4.0,0.0
" 2022-08-15 10:10:00",19.0,1.0
" 2022-08-15 10:10:30",3.0,0.0
" 2022-08-15 10:11:00",6.0,0.0
" 2022-08-15 10:11:30",29.0,0.0
" 2022-08-15 10:12:00",0.0,1.0
" 2022-08-15 10:12:30",20.0,0.0
" 2022-08-15 10:13:00",5.0,1.0
" 2022-08-15 10:13:30",25.0,1.0
" 2022-08-15 10:14:00",13.0,0.0
" 2022-08-15 10:14:30",11.0,1.0
" 2022-08-15 10:15:00",19.0,0.0
" 2022-08-15 10:15:30",8.0,0.0
" 2022-08-15 10:16:00",26.0,0.0
" 2022-08-15 10:16:30",18.0,1.0
" 2022-08-15 10:17:00",26.0,1.0
" 2022-08-15 10:17:30",15.0,1.0
" 2022-08-15 10:18:00",4.0,1.0
" 2022-08-15 10:18:30",2.0,1.0
" 2022-08-15 10:19:00",5.0,0.0
" 2022-08-15 10:19:30",28.0,0.0
" 2022-08-15 10:20:00",12.0,0.0
" 2022-08-15 10:20:30",1.0,0.0
" 2022-08-15 10:21:00",23.0,0.0
" 2022-08-15 10:21:30",16.0,0.0
" 2022-08-15 10:22:00",29.0,1.0
" 2022-08-15 10:22:30",4.0,1.0
" 2022-08-15 10:23:00",0.0,1.0
" 2022-08-15 10:23:30",14.0,1.0
" 2022-08-15 10:24:00",13.0,0.0
" 2022-08-15 10:24:30",14.0,1.0
" 2022-08-15 10:25:00",7.0,0.0
" 2022-08-15 10:25:30",10.0,1.0
" 2022-08-15 10:26:00",10.0,0.0
" 2022-08-15 10:26:30",17.0,0.0
" 2022-08-15 10:27:00",2.0,0.0
" 2022-08-15 10:27:30",6.0,1.0
" 2022-08-15 10:28:00",26.0,0.0
" 2022-08-15 10:28:30",16.0,0.0
" 2022-08-15 10:29:00",0.0,1.0
" 2022-08-15 10:29:30",16.0,1.0
" 2022-08-15 10:30:00",25.0,0.0
" 2022-08-15 10:30:30",16.0,0.0
" 2022-08-15 10:31:00",26.0,0.0
" 2022-08-15 10:31:30",15.0,1.0
" 2022-08-15 10:32:00",26.0,1.0
" 2022-08-15 10:32:30",11.0,0.0
" 2022-08-15 10:33:00",0.0,1.0
" 2022-08-15 10:33:30",19.0,1.0
" 2022-08-15 10:34:00",26.0,1.0
" 2022-08-15 10:34:30",24.0,0.0
" 2022-08-15 10:35:00",23.0,1.0
" 2022-08-15 10:35:30",2.0,1.0
" 2022-08-15 10:36:00",11.0,0.0
" 2022-08-15 10:36:30",6.0,0.0
" 2022-08-15 10:37:00",19.0,1.0
" 2022-08-15 10:37:30",29.0,1.0
" 2022-08-15 10:38:00",12.0,1.0
" 2022-08-15 10:38:30",16.0,0.0
" 2022-08-15 10:39:00",15.0,0.0
" 2022-08-15 10:39:30",12.0,1.0
" 2022-08-15 10:40:00",1.0,0.0
" 2022-08-15 10:40:30",0.0,0.0
" 2022-08-15 10:41:00",17.0,1.0
" 2022-08-15 10:41:30",9.0,1.0
" 2022-08-15 10:42:00",27.0,1.0
" 2022-08-15 10:42:30",26.0,0.0
" 2022-08-15 10:43:00",18.0,1.0
" 2022-08-15 10:43:30",15.0,0.0
" 2022-08-15 10:44:00",13.0,0.0
" 2022-08-15 10:44:30",18.0,0.0
" 2022-08-15 10:45:00",9.0,0.0
" 2022-08-15 10:45:30",21.0,1.0
" 2022-08-15 10:46:00",12.0,0.0
" 2022-08-15 10:46:30",7.0,0.0
" 2022-08-15 10:47:00",28.0,1.0
" 2022-08-15 10:47:30",27.0,0.0
" 2022-08-15 10:48:00",2.0,0.0
" 2022-08-15 10:48:30",5.0,1.0
" 2022-08-15 10:49:00",5.0,0.0
" 2022-08-15 10:49:30",19.0,0.0
" 2022-08-15 10:49:58",23.0,1.0
" 2022-08-15 10:50:30",12.0,0.0
" 2022-08-15 10:51:00",24.0,1.0
" 2022-08-15 10:51:30",17.0,0.0
" 2022-08-15 10:52:00",13.0,1.0
" 2022-08-15 10:52:30",10.0,1.0
" 2022-08-15 10:53:00",6.0,1.0
" 2022-08-15 10:53:30",0.0,0.0
" 2022-08-15 10:54:00",4.0,0.0
" 2022-08-15 10:54:30",21.0,1.0
" 2022-08-15 10:55:00",9.0,0.0
" 2022-08-15 10:55:30",9.0,0.0
" 2022-08-15 10:56:00",15.0,1.0
" 2022-08-15 10:56:30",0.0,1.0
" 2022-08-15 10:57:00",4.0,1.0
" 2022-08-15 10:57:30",15.0,1.0
" 2022-08-15 10:58:00",20.0,1.0
" 2022-08-15 10:58:30",29.0,1.0
" 2022-08-15 10:59:00",27.0,0.0
" 2022-08-15 10:59:30",13.0,1.0
" 2022-08-15 11:00:00",17.0,0.0
" 2022-08-15 11:00:30",2.0,1.0
" 2022-08-15 11:01:00",29.0,1.0
" 2022-08-15 11:01:30",29.0,0.0
" 2022-08-15 11:02:00",5.0,1.0
" 2022-08-15 11:02:30",7.0,1.0
" 2022-08-15 11:03:00",6.0,0.0
" 2022-08-15 11:03:30",26.0,1.0
" 2022-08-15 11:04:00",29.0,0.0
" 2022-08-15 11:04:30",14.0,0.0
" 2022-08-15 11:05:00",7.0,1.0
" 2022-08-15 11:05:30",21.0,0.0
" 2022-08-15 11:06:00",26.0,1.0
" 2022-08-15 11:06:30",21.0,0.0
" 2022-08-15 11:07:00",21.0,0.0
" 2022-08-15 11:07:30",25.0,1.0
" 2022-08-15 11:08:00",27.0,0.0
" 2022-08-15 11:08:30",16.0,0.0
" 2022-08-15 11:09:00",18.0,0.0
" 2022-08-15 11:09:30",11.0,0.0
" 2022-08-15 11:10:00",12.0,1.0
" 2022-08-15 11:10:30",29.0,1.0
" 2022-08-15 11:11:00",20.0,1.0
" 2022-08-15 11:11:30",11.0,0.0
" 2022-08-15 11:12:00",4.0,0.0
" 2022-08-15 11:12:30",6.0,1.0
" 2022-08-15 11:13:00",12.0,1.0
" 2022-08-15 11:13:30",18.0,0.0
" 2022-08-15 11:14:00",10.0,0.0
" 2022-08-15 11:14:30",22.0,1.0
" 2022-08-15 11:15:00",27.0,0.0
" 2022-08-15 11:15:30",9.0,0.0
" 2022-08-15 11:16:00",28.0,1.0
" 2022-08-15 11:16:30",13.0,0.0
" 2022-08-15 11:17:00",12.0,1.0
" 2022-08-15 11:17:30",23.0,0.0
" 2022-08-15 11:18:00",8.0,1.0
" 2022-08-15 11:18:30",8.0,0.0
" 2022-08-15 11:19:00",13.0,1.0
" 2022-08-15 11:19:30",26.0,0.0
" 2022-08-15 11:20:00",2.0,0.0
" 2022-08-15 11:20:30",25.0,1.0
" 2022-08-15 11:21:00",14.0,0.0
" 2022-08-15 11:21:30",18.0,1.0
" 2022-08-15 11:22:00",13.0,0.0
" 2022-08-15 11:22:30",10.0,1.0
" 2022-08-15 11:23:00",27.0,1.0
" 2022-08-15 11:23:30",2.0,0.0
" 2022-08-15 11:24:00",16.0,0.0
" 2022-08-15 11:24:30",22.0,1.0
" 2022-08-15 11:25:00",19.0,0.0
" 2022-08-15 11:25:30",23.0,1.0
" 2022-08-15 11:26:00",1.0,1.0
" 2022-08-15 11:26:30",16.0,0.0
" 2022-08-15 11:27:00",6.0,1.0
" 2022-08-15 11:27:30",9.0,1.0
" 2022-08-15 11:28:00",23.0,1.0
" 2022-08-15 11:28:30",26.0,1.0
" 2022-08-15 11:29:00",2.0,0.0
" 2022-08-15 11:29:30",22.0,1.0
" 2022-08-15 11:30:00",8.0,1.0
" 2022-08-15 11:30:30",27.0,1.0
" 2022-08-15 11:31:00",13.0,0.0
" 2022-08-15 11:31:30",29.0,1.0
" 2022-08-15 11:32:00",0.0,0.0
" 2022-08-15 11:32:30",29.0,0.0
" 2022-08-15 11:33:00",18.0,1.0
" 2022-08-15 11:33:30",2.0,1.0
" 2022-08-15 11:34:00",22.0,1.0
" 2022-08-15 11:34:30",20.0,0.0
" 2022-08-15 11:35:00",12.0,1.0
" 2022-08-15 11:35:30",13.0,0.0
" 2022-08-15 11:36:00",0.0,1.0
" 2022-08-15 11:36:30",4.0,1.0
" 2022-08-15 11:37:00",17.0,1.0
" 2022-08-15 11:37:30",3.0,1.0
" 2022-08-15 11:38:00",21.0,0.0
" 2022-08-15 11:38:30",3.0,0.0
" 2022-08-15 11:39:00",4.0,1.0
" 2022-08-15 11:39:30",13.0,1.0
" 2022-08-15 11:40:00",23.0,1.0
" 2022-08-15 11:40:30",20.0,0.0
" 2022-08-15 11:41:00",2.0,1.0
" 2022-08-15 11:41:30",20.0,0.0
" 2022-08-15 11:42:00",29.0,1.0
" 2022-08-15 11:42:30",20.0,0.0
" 2022-08-15 11:43:00",2.0,0.0
" 2022-08-15 11:43:30",12.0,0.0
" 2022-08-15 11:44:00",16.0,1.0
" 2022-08-15 11:44:30",19.0,0.0
" 2022-08-15 11:45:00",21.0,0.0
" 2022-08-15 11:45:30",16.0,1.0
" 2022-08-15 11:46:00",5.0,0.0
" 2022-08-15 11:46:30",22.0,0.0
" 2022-08-15 11:47:00",0.0,1.0
" 2022-08-15 11:47:30",2.0,0.0
" 2022-08-15 11:48:00",11.0,0.0
" 2022-08-15 11:48:30",26.0,0.0
" 2022-08-15 11:49:00",26.0,1.0
" 2022-08-15 11:49:30",4.0,0.0
" 2022-08-15 11:50:00",26.0,1.0
" 2022-08-15 11:50:30",14.0,1.0
" 2022-08-15 11:51:00",15.0,0.0
" 2022-08-15 11:51:30",27.0,0.0
" 2022-08-15 11:52:00",2.0,0.0
" 2022-08-15 11:52:30",21.0,0.0
" 2022-08-15 11:53:00",13.0,0.0
" 2022-08-15 11:53:30",18.0,1.0
" 2022-08-15 11:54:00",20.0,0.0
" 2022-08-15 11:54:30",16.0,1.0
" 2022-08-15 11:55:00",21.0,0.0
" 2022-08-15 11:55:30",9.0,0.0
" 2022-08-15 11:56:00",26.0,0.0
" 2022-08-15 11:56:30",10.0,1.0
" 2022-08-15 11:57:00",1.0,1.0
" 2022-08-15 11:57:30",6.0,0.0
" 2022-08-15 11:58:00",22.0,1.0
" 2022-08-15 11:58:30",14.0,0.0
" 2022-08-15 11:59:00",1.0,1.0
" 2022-08-15 11:59:30",12.0,1.0
